,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
21.951460916135204,AT5G02810,AT5G06690,AT1G18060,AT5G57660,AT5G14270,AT1G07010,AT1G79920,AT3G17510,AT3G59410,AT1G13990,AT4G28660,AT1G65490,AT4G32280,AT5G01530,AT1G19510,AT3G02570,AT5G37310,AT5G58960,AT2G21320,,,,,,,,,,,,,
22.881461821974955,AT3G03780,AT2G43010,AT5G43440,AT5G42820,AT4G04020,AT2G47490,AT1G08980,AT1G13990,,,,,,,,,,,,,,,,,,,,,,,,
23.179243811198496,AT1G37130,AT1G06002,AT1G72340,AT5G65720,AT1G48100,AT4G16880,AT5G02810,AT2G37180,AT1G60590,AT4G27320,AT5G06690,AT5G14320,AT2G42220,AT2G31790,AT3G57870,AT1G10155,AT5G62430,AT1G30210,AT5G65910,AT1G66410,AT3G14415,,,,,,,,,,,
25.38452945257821,AT3G23210,AT5G64860,AT4G17090,AT1G79520,AT1G33970,AT1G06040,AT5G65910,AT3G26570,,,,,,,,,,,,,,,,,,,,,,,,
18.381733325615606,AT5G50950,AT1G64230,AT2G47490,AT1G01910,AT2G24150,AT5G37680,AT2G19650,AT1G71030,AT2G31790,AT1G06040,AT4G33700,AT1G59830,AT4G21910,AT3G03780,AT4G12060,AT4G21926,AT2G38700,AT4G26130,AT4G19110,,,,,,,,,,,,,
20.309805413694786,AT1G62800,AT5G43440,AT5G58870,AT5G37310,AT2G47490,AT5G35630,AT1G07280,AT1G01190,AT3G07310,AT1G31330,AT4G29040,AT4G33700,AT3G08730,AT1G71030,AT2G04700,AT3G01550,AT1G32080,,,,,,,,,,,,,,,
24.209040757177757,AT3G46970,AT5G02810,AT2G32080,AT4G36360,AT2G29310,AT2G21320,AT4G17090,AT5G02270,AT1G08980,AT3G60130,AT1G68440,AT5G64840,AT3G11900,AT4G39940,AT1G79920,AT1G06040,AT4G21926,AT4G20410,AT4G33700,AT5G52450,AT1G17455,AT1G75540,AT1G64970,AT2G32390,,,,,,,,
23.346113228687905,AT3G17510,AT2G18230,AT5G57660,AT1G53910,AT1G21500,AT3G09600,AT1G13080,AT5G07350,AT5G14270,,,,,,,,,,,,,,,,,,,,,,,
21.038640203814733,AT1G14290,AT4G26130,AT1G59900,AT2G46830,AT2G18230,AT5G51820,AT1G48100,AT2G30570,AT1G56220,AT4G34740,AT1G31330,AT2G19650,AT4G33670,AT1G31190,AT3G18490,AT4G38620,AT3G47820,AT5G27280,AT5G59480,,,,,,,,,,,,,
19.931155177600115,AT1G20696,AT5G59480,AT5G25220,AT4G38960,AT2G43010,AT4G16880,AT2G20750,AT1G06680,AT3G56650,AT4G12900,AT3G18490,AT5G57030,AT1G18060,AT5G43440,AT4G25050,,,,,,,,,,,,,,,,,
23.586762395827623,AT3G26280,AT2G25950,AT5G64860,AT1G03130,AT4G26130,AT5G07690,AT2G18230,AT1G57990,AT5G14270,AT5G64840,AT3G26570,AT2G19860,AT4G12800,AT5G14320,AT5G12470,AT1G33970,AT5G06690,AT1G26560,AT1G42970,,,,,,,,,,,,,
20.539219216472038,AT4G38960,AT4G16060,AT4G02770,AT1G06040,AT2G06925,AT2G42220,AT4G00830,AT5G57030,AT5G06690,AT1G64500,AT4G16180,AT3G11800,AT3G54390,AT2G37240,AT5G15850,AT2G39730,AT1G22640,AT5G02810,,,,,,,,,,,,,,
19.7267929470102,AT1G71030,AT4G27620,AT5G65720,AT2G47490,AT1G06040,AT1G64230,AT4G17090,AT3G15840,AT5G01530,AT5G15850,AT2G38210,AT1G30210,AT5G23860,AT3G07310,AT5G47310,AT5G52570,AT3G17510,AT3G26570,AT2G19650,,,,,,,,,,,,,
27.20086484351194,AT2G40400,AT2G04700,AT1G26560,AT4G16360,AT5G07690,AT5G23010,AT4G19390,AT1G59830,AT5G62280,AT5G12470,AT1G64230,AT4G31390,AT1G20696,AT5G66570,AT1G79520,AT1G79920,AT4G27450,AT4G18710,AT2G41820,AT2G37240,AT3G61470,,,,,,,,,,,
21.55406045277754,AT2G19650,AT3G23210,AT1G71030,AT5G02150,AT4G12060,AT2G22360,AT2G47750,AT1G17455,AT2G38610,AT5G65720,AT3G14415,AT4G38960,AT3G56290,AT5G37310,AT5G13100,AT5G58870,AT2G39250,AT4G09810,AT5G57660,AT2G23840,AT1G14280,AT3G51610,AT4G18730,AT3G11900,AT4G26130,AT4G16890,,,,,,
24.463454518212647,AT5G48900,AT4G09020,AT5G58490,AT4G16880,AT2G21320,AT3G07310,AT1G64500,AT3G23210,AT3G11900,AT4G25660,AT3G07350,AT4G12060,AT5G14200,AT1G79520,AT5G37310,AT5G58870,AT4G17090,AT5G54510,AT5G20360,AT4G12070,,,,,,,,,,,,
21.391623987725467,AT3G01550,AT5G51820,AT1G06680,AT4G26130,AT4G25170,AT4G04020,AT5G23730,AT2G21320,AT2G32080,AT4G03260,AT1G17050,,,,,,,,,,,,,,,,,,,,,
23.011953120047647,AT2G29650,AT2G47490,AT4G26530,AT4G23630,AT3G61470,AT3G07310,AT2G38610,AT3G14770,AT5G54930,AT1G20696,AT4G21926,AT4G38630,AT1G09340,AT1G44000,AT4G12060,AT2G20750,AT3G58990,AT5G57630,AT5G43440,,,,,,,,,,,,,
23.79989140045628,AT4G23630,AT1G14290,AT5G35630,AT4G12900,AT4G21926,AT1G65860,AT5G15850,AT1G20696,AT1G31190,AT1G68440,AT3G61470,AT1G48100,AT5G57030,AT4G32280,AT4G27390,AT1G30210,AT2G30570,AT2G29310,AT1G56220,AT3G15510,AT3G17510,AT3G18820,AT1G75540,AT4G32770,AT2G03310,AT5G06690,,,,,,
26.32958849481691,AT1G64500,AT2G23840,AT5G12150,AT3G29590,AT1G08980,AT5G02270,AT4G03260,AT1G22940,AT5G65910,AT4G16890,AT3G08730,AT2G25950,AT3G19700,AT5G02810,AT2G46830,AT4G18440,AT3G19710,AT1G21920,AT4G17486,AT4G35830,AT4G12800,,,,,,,,,,,
27.790739087290866,AT1G68440,AT2G21320,AT1G06002,AT4G26130,AT4G16180,AT4G16880,AT4G18440,AT4G19450,AT5G59480,AT5G64940,AT2G30570,,,,,,,,,,,,,,,,,,,,,
18.916129797003588,AT5G02810,AT3G56650,AT2G32080,AT3G09600,AT1G17050,AT4G12800,AT5G42190,AT4G33700,AT5G07690,AT5G47560,AT2G18245,AT5G53760,AT2G45740,,,,,,,,,,,,,,,,,,,
20.698400146694237,AT2G38670,AT5G06690,AT5G02810,AT4G12900,AT4G17090,AT1G06040,AT3G56190,AT3G11800,AT2G37180,AT5G20360,AT4G33700,AT5G24420,AT5G53760,AT1G18060,AT1G75540,AT2G35660,AT1G64970,,,,,,,,,,,,,,,
20.96493632916044,AT3G14770,AT3G14415,AT5G64940,AT4G12900,AT5G52570,AT1G07010,AT5G65720,AT1G31330,AT2G32080,AT1G30210,AT2G15020,AT1G15690,AT5G06690,AT1G09340,AT2G31790,AT4G00830,AT3G60370,AT5G66740,AT2G43010,AT2G17880,AT4G16880,AT4G38960,,,,,,,,,,
